comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
som,3,10,0.9722851466320744,212.91893985562132,0.9819094378305395,6.608214918437185e-06,0.026645011859120073,0.16647778640985578,inf,0.003038555583233429,0.0006623255765004603,0.9962991188402661,carbon_10,PFT10,Slow,asp,BaggingRegressor
som,3,11,0.9810405585462512,338.57589841534167,0.984882337273647,4.52061074242938e-06,0.029475381003759158,0.13769328761326322,inf,0.0033570585273091456,0.0017052089889468681,0.9949377324837441,carbon_11,PFT11,Slow,asp,BaggingRegressor
som,3,12,0.9800289128790282,173.0705711200836,1.006782005509277,4.7618233478712005e-06,0.026195263713070564,0.1413190968021372,inf,0.014936384675914422,0.013603410989991094,0.9714602043340944,carbon_12,PFT12,Slow,asp,BaggingRegressor
som,3,13,0.9510109082008017,122.60490410816328,1.0144802532581936,1.1680756270671977e-05,0.022665027571383715,0.22133479572628947,inf,0.001977870552183403,0.029782130593041446,0.9682399988547751,carbon_13,PFT13,Slow,asp,BaggingRegressor
som,3,14,0.8814589299791976,75.23339602783544,0.9334751218710324,2.826444206504586e-05,0.025564432792079678,0.3442979378689369,inf,0.0017423254220308858,0.00046006376683018884,0.9977976108111388,carbon_14,PFT14,Slow,asp,BaggingRegressor
som,3,15,0.964973752116092,264.1406440603267,0.9257868735705104,8.351513563163569e-06,0.04468877041417499,0.18715300661199116,0.17446953942404003,0.004726568642814045,0.09768367327481084,0.8975897580823751,carbon_15,PFT15,Slow,asp,BaggingRegressor
biomass,1,2,0.9946385118517584,9.72835803390593,0.9912891412749454,1.2783710415454274e-06,0.02123600636585716,0.07322218344355434,inf,0.00017440723864242265,0.006824394211505783,0.9930011985498517,biomass_01,PFT02,Leaf,pft,BaggingRegressor
biomass,1,3,0.7944427427837315,16.59296608329937,0.819504698974548,4.901222155848081e-05,0.0862047750390491,0.4533842269160547,inf,9.839511453343293e-06,0.03191655658328864,0.9680736039052581,biomass_01,PFT03,Leaf,pft,BaggingRegressor
biomass,1,4,0.9911825664006431,6.298117068539831,0.9791857182045024,2.102392369899135e-06,0.012309841073336476,0.09390119061735569,inf,0.00045691330400026163,0.031042870493702145,0.9685002162022978,biomass_01,PFT04,Leaf,pft,BaggingRegressor
biomass,1,5,0.9930187183750171,3.7425108213547893,0.9817007174329491,1.6645878934150956e-06,0.018641625334870453,0.08355406408417793,inf,0.0017046304468485301,0.03191176429777736,0.966383605255374,biomass_01,PFT05,Leaf,pft,BaggingRegressor
biomass,1,6,0.8295478526480149,9.457806073425653,0.8289568393414878,4.06419044711457e-05,0.04894391812934835,0.4128585076657439,inf,1.6508304514280204e-05,0.047368196173731024,0.9526152955217546,biomass_01,PFT06,Leaf,pft,BaggingRegressor
biomass,1,7,0.9899687315726329,7.990878485616961,0.9790724607919342,2.391814121928265e-06,0.021957987722590513,0.10015622011321686,inf,0.0005957733151555196,0.025659450048783713,0.9737447766360607,biomass_01,PFT07,Leaf,pft,BaggingRegressor
biomass,1,8,0.6878666971152843,1.3874987139294306,0.9449644172807675,7.442377274313681e-05,0.012733114773941717,0.5586889142310915,inf,0.0019878753488857446,0.02958920120047539,0.9684229234506387,biomass_01,PFT08,Leaf,pft,BaggingRegressor
biomass,1,9,1.0,0.0,1.0,,,,,,,,biomass_01,PFT09,Leaf,pft,NoneType
biomass,1,10,0.7713664789068103,5.156306943915194,0.8216767490425203,5.451443039894842e-05,0.05310401811709381,0.478156377237813,inf,0.0030381309866890256,0.01938257032206409,0.9775792986912469,biomass_01,PFT10,Leaf,pft,BaggingRegressor
biomass,1,11,0.9247902637896634,6.439603060584719,0.9163544533914418,1.793269819035205e-05,0.08096290975073178,0.2742439355944567,inf,0.00035483763103705957,0.02957948160974377,0.9700656807592192,biomass_01,PFT11,Leaf,pft,BaggingRegressor
biomass,1,12,0.9205890147200756,3.2479346316861797,0.9272569042293386,1.8934426628498908e-05,0.03040927035790328,0.28179954804776464,inf,0.001308636041782558,0.014264036656223557,0.9844273273019938,biomass_01,PFT12,Leaf,pft,BaggingRegressor
biomass,1,13,0.7603628358869603,3.242164014296299,0.6475690799846553,5.7138093493810134e-05,0.021959500135709215,0.4895274906611882,inf,0.0002868703268476116,0.3014303197880872,0.6982828098850651,biomass_01,PFT13,Leaf,pft,BaggingRegressor
biomass,1,14,0.5598400823236824,2.9459781961393086,0.6836774710855169,0.0001049499088403237,0.036932137488060526,0.6634454896043213,inf,7.869939861071602e-05,0.023360047080565056,0.9765612535208241,biomass_01,PFT14,Leaf,pft,BaggingRegressor
biomass,1,15,0.3912641313026035,1.629825238503158,0.5944661746372586,0.00014514446082436732,0.02554673120072286,0.7802152707409644,768.7303191115195,0.0002999986583189662,0.018800625776582494,0.9808993755650984,biomass_01,PFT15,Leaf,pft,BaggingRegressor
biomass,2,2,0.9900020781113323,20.51515105974312,0.9826324757673564,2.3838631112703135e-06,0.023160534356018465,0.09998960890346405,inf,0.0003578977156251978,0.015498059371977322,0.9841440429123974,biomass_02,PFT02,SapAB,pft,BaggingRegressor
